;Winner;Turns;Win_rate
0;Bernhard;9;1.0
1;Magdalena;153;0.5
2;Bernhard;27;0.6666666666666666
3;Magdalena;27;0.5
4;Bernhard;15;0.6
5;Magdalena;55;0.5
6;Bernhard;15;0.5714285714285714
7;Magdalena;67;0.5
8;Magdalena;26;0.4444444444444444
9;Magdalena;35;0.4
10;Magdalena;60;0.36363636363636365
11;Bernhard;24;0.4166666666666667
12;Bernhard;25;0.46153846153846156
13;Bernhard;30;0.5
14;Bernhard;23;0.5333333333333333
15;Magdalena;21;0.5
16;Bernhard;27;0.5294117647058824
17;Magdalena;39;0.5
18;Bernhard;25;0.5263157894736842
19;Magdalena;91;0.5
20;Bernhard;15;0.5238095238095238
21;Magdalena;29;0.5
22;Bernhard;37;0.5217391304347826
23;Bernhard;28;0.5416666666666666
24;Bernhard;97;0.56
25;Bernhard;38;0.5769230769230769
26;Magdalena;32;0.5555555555555556
27;Bernhard;62;0.5714285714285714
28;Magdalena;32;0.5517241379310345
29;Bernhard;152;0.5666666666666667
30;Bernhard;27;0.5806451612903226
31;Magdalena;45;0.5625
32;Bernhard;45;0.5757575757575758
33;Bernhard;76;0.5882352941176471
34;Bernhard;15;0.6
35;Bernhard;40;0.6111111111111112
36;Magdalena;58;0.5945945945945946
37;Bernhard;24;0.6052631578947368
38;Bernhard;83;0.6153846153846154
39;Magdalena;33;0.6
40;Bernhard;11;0.6097560975609756
41;Magdalena;109;0.5952380952380952
42;Magdalena;80;0.5813953488372093
43;Magdalena;61;0.5681818181818182
44;Magdalena;42;0.5555555555555556
45;Magdalena;29;0.5434782608695652
46;Bernhard;19;0.5531914893617021
47;Bernhard;40;0.5625
48;Bernhard;31;0.5714285714285714
49;Magdalena;81;0.56
50;Magdalena;22;0.5490196078431373
51;Magdalena;15;0.5384615384615384
52;Magdalena;18;0.5283018867924528
53;Bernhard;34;0.5370370370370371
54;Bernhard;33;0.5454545454545454
55;Magdalena;49;0.5357142857142857
56;Bernhard;21;0.543859649122807
57;Bernhard;24;0.5517241379310345
58;Magdalena;72;0.5423728813559322
59;Bernhard;58;0.55
60;Magdalena;10;0.5409836065573771
61;Magdalena;29;0.532258064516129
62;Magdalena;20;0.5238095238095238
63;Bernhard;19;0.53125
64;Bernhard;73;0.5384615384615384
65;Bernhard;46;0.5454545454545454
66;Bernhard;13;0.5522388059701493
67;Bernhard;36;0.5588235294117647
68;Magdalena;34;0.5507246376811594
69;Magdalena;79;0.5428571428571428
70;Magdalena;54;0.5352112676056338
71;Bernhard;32;0.5416666666666666
72;Magdalena;82;0.5342465753424658
73;Bernhard;58;0.5405405405405406
74;Bernhard;17;0.5466666666666666
75;Bernhard;36;0.5526315789473685
76;Magdalena;72;0.5454545454545454
77;Bernhard;70;0.5512820512820513
78;Bernhard;25;0.5569620253164557
79;Magdalena;27;0.55
80;Magdalena;34;0.5432098765432098
81;Bernhard;14;0.5487804878048781
82;Bernhard;13;0.5542168674698795
83;Bernhard;24;0.5595238095238095
84;Magdalena;22;0.5529411764705883
85;Bernhard;16;0.5581395348837209
86;Magdalena;28;0.5517241379310345
87;Magdalena;37;0.5454545454545454
88;Bernhard;15;0.550561797752809
89;Bernhard;60;0.5555555555555556
90;Bernhard;61;0.5604395604395604
91;Bernhard;18;0.5652173913043478
92;Bernhard;53;0.5698924731182796
93;Magdalena;17;0.5638297872340425
94;Bernhard;43;0.5684210526315789
95;Magdalena;17;0.5625
96;Bernhard;37;0.5670103092783505
97;Magdalena;43;0.5612244897959183
98;Magdalena;68;0.5555555555555556
99;Magdalena;35;0.55
